,0
0,Arkansas
1,Colorado
2,Connecticut
3,Delaware
4,Florida
5,Georgia
6,Idaho
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Maryland
14,Massachusetts
15,Michigan
16,Minnesota
17,Mississippi
18,Missouri
19,Montana
20,Nebraska
21,Nevada
22,New Hampshire
23,New Mexico
24,North Dakota
25,Ohio
26,Oklahoma
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Carolina
31,South Dakota
32,Tennessee
33,Texas
34,Utah
35,Vermont
36,Virginia
37,Washington
38,West Virginia
39,Wisconsin
40,Wyoming
